FIS TARIHI,ALACAK,ExpectedValue,ExpectedLow,ExpectedHigh,RawScore,Anomaly,BatchStart,BatchEnd
2019-02-09 00:00:00,42341.7,103229.39441204179,'-474442.6063222042,680901.3951462877,0,0,,
2019-02-11 00:00:00,1251892.77,1190665.7535515947,609774.4349973486,1771557.0721058408,0,0,,
2019-02-12 00:00:00,647841.07,709407.408484769,125296.77211052307,1293518.044859015,0,0,,
2019-02-13 00:00:00,2836630.3200000026,2775403.303551597,2194511.9849973507,3356294.6221058434,0,0,,
2019-02-14 00:00:00,1988630.7600000002,2047097.5691566996,1462986.9327824535,2631208.2055309457,0,0,,
2019-02-15 00:00:00,1755664.66,1816891.6764484053,1236000.3578941592,2397782.9950026516,0,0,,
2019-02-16 00:00:00,63870.409999999996,2304.071515230935,'-581806.564859015,586414.7078894769,0,0,,
2019-02-18 00:00:00,1772035.9200000002,1833262.9364484055,1252371.6178941594,2414154.2550026514,0,0,,
2019-02-19 00:00:00,1341198.54,1402764.878484769,818654.242110523,1986875.5148590151,0,0,,
2019-02-20 00:00:00,1742130.4499999995,1680903.4335515941,1100012.114997348,2261794.7521058405,0,0,,
2019-02-21 00:00:00,4220531.929999999,4282098.2684847675,3697987.6321105217,4866208.904859014,0,0,,
2019-02-22 00:00:00,531051.05,469824.0335515946,'-111067.28500265151,1050715.3521058406,0,0,,
2019-02-23 00:00:00,5478.38,0,'-577672.000734246,577672.000734246,0,0,,
2019-02-25 00:00:00,2819987.36,2881214.3764484054,2300323.057894159,3462105.695002652,0,0,,
2019-02-26 00:00:00,2764662.1599999997,2703774.4655879578,2126102.464853712,3281446.4663222036,0,0,,
2019-02-27 00:00:00,2395061.1100000013,2456288.126448407,1875396.8078941607,3037179.4450026527,0,0,,
2019-02-28 00:00:00,16439610.630000016,16378044.291515246,15793933.655141,16962154.927889492,0,0,,
2019-03-01 00:00:00,10184858.379999997,10122262.18973341,9528380.834579164,10716143.544887656,0,0,,
2019-03-02 00:00:00,1729.5500000000002,63295.888484769064,'-520814.74788947694,647406.524859015,0,0,,
2019-03-04 00:00:00,3036626.830000001,2975739.135587959,2398067.134853713,3553411.136322205,0,0,,
2019-03-05 00:00:00,2153983.500000001,2214871.194412043,1637199.193677797,2792543.1951462887,0,0,,
2019-03-06 00:00:00,2251106.1199999996,2189539.7815152304,1605429.1451409846,2773650.4178894763,0,0,,
2019-03-07 00:00:00,217861.74,281487.78204840544,'-322164.29188584065,885139.8559826515,0,0,,
2019-03-08 00:00:00,3880327.2299999977,3816257.405697047,3208394.9476228007,4424119.863771293,0,0,,
2019-03-09 00:00:00,5259.03,69427.1500120418,'-539367.8886022043,678222.1886262879,0,0,,
2019-03-10 00:00:00,90609.73999999999,26441.61998795819,'-582353.4186262878,635236.6586022043,0,0,,
2019-03-11 00:00:00,2186299.9100000006,2250468.0300120423,1641672.9913977962,2859263.0686262883,0,0,,
2019-03-12 00:00:00,2657065.659999999,2592841.193224321,1983511.5646900747,3202170.8217585674,0,0,,
2019-03-13 00:00:00,2010254.17,1946029.7032243218,1336700.0746900754,2555359.331758568,0,0,,
2019-03-14 00:00:00,2319876.7000000025,2384044.820012044,1775249.781397798,2992839.85862629,0,0,,
2019-03-15 00:00:00,1966486.0799999998,1902261.6132243217,1292931.9846900753,2511591.241758568,0,0,,
2019-03-16 00:00:00,21534.989999999998,87784.90732113269,'-540761.1832631133,716330.9979053787,0,0,,
2019-03-18 00:00:00,726119.66,790344.1267756782,181014.49824143178,1399673.7553099247,0,0,,
2019-03-19 00:00:00,2226757.02,2160507.1026788675,1531961.0120946215,2789053.1932631135,0,0,,
2019-03-20 00:00:00,1797995.3699999999,1865957.9439029507,1221163.0239987045,2510752.8638071967,0,0,,
2019-03-21 00:00:00,909827.29,949588.9645552884,304794.0446510422,1594383.8844595347,0,0,,
2019-03-22 00:00:00,1384910.6999999997,1316948.1260970489,672153.2061928026,1961743.046001295,0,0,,
2019-03-23 00:00:00,22836.020000000004,91203.5688120418,'-557433.5505422044,739840.688166288,0,0,,
2019-03-24 00:00:00,75473.85,7511.276097049093,'-637283.6438071971,652306.1960012953,0,0,,
2019-03-25 00:00:00,838511.2699999999,906473.8439029509,261678.92399870465,1551268.763807197,0.0968532645,0,,
2019-03-26 00:00:00,1537846.100000002,1606213.6488120437,957576.5294577975,2254850.7681662897,0,0,,
2019-03-27 00:00:00,1050155.52,982192.9460970492,337398.02619280294,1626987.8660012954,0,0,,
2019-03-28 00:00:00,383613.29000000004,451980.83881204185,'-196656.28054220433,1100617.958166288,0,0,,
2019-03-29 00:00:00,6366461.450000001,6297948.633333414,5647933.285209168,6947963.98145766,0,0,,
2019-03-30 00:00:00,186306.8,117625.22013341275,'-533991.2688508332,769241.7091176587,0,0,,
2019-03-31 00:00:00,174019447.85000008,6136094.787381708,5484478.298397462,6787711.2763659535,0.8464891577,1,Tue Jan 01 2019 00:00:00 GMT+0300 (GMT+03:00),Tue Dec 31 2019 00:00:00 GMT+0300 (GMT+03:00)
2019-04-01 00:00:00,14760628.86,14692116.043333411,14042100.695209164,15342131.391457658,0,0,,
