FIS TARIHI,Bakiye,ExpectedValue,ExpectedLow,ExpectedHigh,RawScore,Anomaly,BatchStart,BatchEnd
2019-04-02 00:00:00,271925441,279961132,227478027,332444236,0,0,,
2019-04-03 00:00:00,115107689,107071998,54588894,159555103,0,0,,
2019-04-04 00:00:00,459196341,467232032,414748927,519715136,0,0,,
2019-04-05 00:00:00,81430978,89466669,36983564,141949773,0,0,,
2019-04-06 00:00:00,8046889,11198,'-52471906,52494303,0,0,,
2019-04-07 00:00:00,141384,8177075,'-44306030,60660179,0,0,,
2019-04-08 00:00:00,213807556,205787345,153405344,258169347,0,0,,
2019-04-09 00:00:00,397676623,389656412,337274411,442038414,0,0,,
2019-04-10 00:00:00,166112308,174132519,121750517,226514520,0,0,,
2019-04-11 00:00:00,275704534,267684323,215302322,320066325,0,0,,
2019-04-12 00:00:00,126618327,134638538,82256536,187020539,0,0,,
2019-04-13 00:00:00,202421822,195051449,143435976,246666923,0,0,,
2019-04-14 00:00:00,40824,755069,'-50489591,51999729,0,0,,
2019-04-15 00:00:00,323791853,315977539,264940302,367014776,0,0,,
2019-04-16 00:00:00,124586184,132432256,81187596,183676916,0,0,,
2019-04-17 00:00:00,291445746,283631432,232594195,334668669,0,0,,
2019-04-18 00:00:00,29944776,37759090,'-13278147,88796327,0,0,,
2019-04-19 00:00:00,783764351,775950037,724912800,826987274,0,0,,
2019-04-20 00:00:00,1551191,9365505,'-41671732,60402742,0,0,,
2019-04-21 00:00:00,3240,7817554,'-43219683,58854791,0,0,,
2019-04-22 00:00:00,389519153,381704839,330667602,432742076,0,0,,
2019-04-23 00:00:00,1614449,9272464,'-40743948,59288877,0,0,,
2019-04-24 00:00:00,343782366,336124351,286107938,386140763,0,0,,
2019-04-25 00:00:00,244308025,236650010,186633597,286666422,0,0,,
2019-04-26 00:00:00,379386123,386832608,338197751,435467466,0,0,,
2019-04-27 00:00:00,2970988,10417473,'-38217384,59052331,0,0,,
2019-04-28 00:00:00,865064,0,'-48634857,48634857,0,0,,
2019-04-29 00:00:00,238263638,245566843,197867788,293265898,0,0,,
2019-04-30 00:00:00,3472109147,3464805942,3417106887,3512504997,0,0,,
2019-05-01 00:00:00,1836915548,1844218753,1796519698,1891917808,0,0,,
2019-05-02 00:00:00,4964807681,4957361196,4908726338,5005996053,0,0,,
2019-05-03 00:00:00,389688197,397134682,348499825,445769540,0,0,,
2019-05-04 00:00:00,539064,0,'-50016412,50016412,0,0,,
2019-05-05 00:00:00,4670370,12328385,'-37688027,62344798,0,0,,
2019-05-06 00:00:00,468175481,475833496,425817084,525849909,0,0,,
2019-05-07 00:00:00,139343796,131685781,81669368,181702193,0,0,,
2019-05-08 00:00:00,176403889,184218203,133180966,235255440,0,0,,
2019-05-09 00:00:00,431985469,424171155,373133918,475208392,0,0,,
2019-05-10 00:00:00,92207203,84392889,33355652,135430126,0,0,,
2019-05-11 00:00:00,630065,8532913,'-43082561,60148386,0,0,,
2019-05-13 00:00:00,244005366,236102518,184487045,287717992,0,0,,
2019-05-14 00:00:00,306424891,314239205,263201968,365276442,0,0,,
2019-05-15 00:00:00,825670020,817855706,766818469,868892943,0,0,,
2019-05-16 00:00:00,83793808,91608122,40570885,142645359,0,0,,
2019-05-17 00:00:00,480289639,472475325,421438088,523512562,0,0,,
2019-05-18 00:00:00,58376572,66190886,15153649,117228123,0,0,,
2019-05-19 00:00:00,19990,0,'-51615474,51615474,0,0,,
2019-05-20 00:00:00,390156132,398058980,346443506,449674453,0,0,,
2019-05-21 00:00:00,195258142,203072456,152035219,254109693,0,0,,
2019-05-22 00:00:00,619046855,611232541,560195304,662269778,0,0,,
2019-05-23 00:00:00,290171815,297986129,246948892,349023366,0,0,,
2019-05-24 00:00:00,417787454,410129439,360113026,460145851,0,0,,
2019-05-25 00:00:00,15456633,23270947,'-27766290,74308184,0,0,,
2019-05-26 00:00:00,797356,0,'-51037237,51037237,0,0,,
2019-05-27 00:00:00,396892274,389234259,339217846,439250671,0,0,,
2019-05-28 00:00:00,296313354,303932052,254172431,353691673,0,0,,
2019-05-29 00:00:00,206479623,198821608,148805195,248838020,0,0,,
2019-05-30 00:00:00,165373269,172991967,123232346,222751588,0,0,,
2019-05-31 00:00:00,3786255539,3778597524,3728581111,3828613936,0,0,,
2019-06-01 00:00:00,39083360,46897674,'-4139563,97934911,0,0,,
2019-06-02 00:00:00,4730,0,'-51037237,51037237,0,0,,
2019-06-03 00:00:00,2314343530,2306685515,2256669102,2356701927,0,0,,
2019-06-04 00:00:00,96210,7714908,'-42044713,57474529,0,0,,
2019-06-05 00:00:00,10470,0,'-50016412,50016412,0,0,,
2019-06-06 00:00:00,7102562,14721260,'-35038361,64480881,0,0,,
2019-06-07 00:00:00,1312232,0,'-50016412,50016412,0,0,,
